year,filename,size_mb
2008,Report2008.pdf,13.1
2009,Report2009.pdf,8.2
2010,Report2010.pdf,6.1
2011,Report2011.pdf,11.9
2012,Report2012.pdf,5.4
2013,Report2013.pdf,6.5
2014,Report2014_Tom_1.pdf,2.4
2014,Report2014_Tom_2.pdf,17.6
2015,ZVIT_ZNO_2015_Part_2.pdf,13.1
2016,ZVIT_ZNO_2016_Tom_1.pdf,1.9
2016,ZVIT_ZNO_2016_Tom_2.pdf,8.1
2017,ZVIT_ZNO_2017_Tom_1.pdf,11.1
2017,ZVIT_ZNO_2017_Tom_2.pdf,16.5
2018,ZVIT-ZNO_2018-Tom_1.pdf,5.7
2018,ZVIT-ZNO_2018-Tom_2.pdf,21.7
2019,ZVIT-ZNO_2019-Tom_1.pdf,10.3
2019,ZVIT-ZNO_2019-Tom_2.pdf,15.5
2020,ZVIT-ZNO_2020-Tom_1_r.pdf,15.3
2020,ZVIT-ZNO_2020-Tom_2.pdf,23.9
2021,ZVIT-ZNO_2021-Tom_1_-1.pdf,18.2
2021,ZVIT_ZNO_2021-Tom_2_.pdf,24.0
2022,Zvit_NMT_2022_na-sajt.pdf,16.4
2023,ZVIT-NMT_2023-Tom_1_.pdf,7.4
2023,ZVIT-NMT_2023-Tom_2.pdf,38.4
2024,Zvit-NMT_2024-Tom_2_red.pdf,36.8
2024,Zvit_NMT_2024_Tom_I_gotovyj_onovlenyj.pdf,10.2
2025,NMT_2025-Zvit-Tom_II__.pdf,28.3
2025,Zvit-NMT-2025_Tom-I___.pdf,20.4
2026,NMT_2026_Zvit-Tom_II-.pdf,24.5
2026,Zvit_NMT-2026_Tom-I_na-sajt.pdf,17.0
